"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-10955-ND","691137710002","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1","0","0.39000","0.39"
"2","1","J6536-ND","415-0057-036","CBL ASSY BNC PLUG-PLUG RG59 36""","","1","0","12.49000","12.49"
"3","1","A32274-ND","5414373-1","CONN BNC JACK R/A 50 OHM PCB","","1","0","3.23000","3.23"
"4","10","CFN1206-FX-R010ELFCT-ND","CFN1206-FX-R010ELF","RES 0.01 OHM 1% 1W 1206","","10","0","0.43600","4.36"
