"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-10955-ND","691137710002","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1","0","0.39000","0.39"
"2","35","A130642CT-ND","CRGP2010F33R","RES 33 OHM 1% 1.25W 2010","","35","0","0.37800","13.23"
"3","1","J6536-ND","415-0057-036","CBL ASSY BNC PLUG-PLUG RG59 36""","","1","0","9.89000","9.89"
"4","1","A32274-ND","5414373-1","CONN BNC JACK R/A 50 OHM PCB","","1","0","3.23000","3.23"
